Clt,Joueur,Pos,Naissance,Équipe
136,Romain Del Castillo,MTAT,1996,Brest
137,Thomas Delaine,DF,1992,Strasbourg
138,Sacha Delaye,ATMT,2002,Montpellier
139,Andy Delort,AT,1991,Nice
140,Karamoko Dembele,ATMT,2003,Brest
141,Moussa Dembélé,ATMT,1996,Lyon
142,Branco van den Boomen,MT,1995,Toulouse
143,Mikkel Desler,DF,1995,Toulouse
144,Bafodé Diakité,DF,2001,Lille
145,Ibrahim Diakité,DF,2003,Reims
146,Habib Diallo,AT,1995,Strasbourg
147,Ismael Diallo,DF,1997,Ajaccio
148,Mouhamadou Diarra,MT,2004,Strasbourg
149,Moussa Diarra,DF,2000,Toulouse
150,Stéphane Diarra,MTAT,1998,Lorient
151,Krepin Diatta,MTAT,1999,Monaco
152,Mory Diaw,GB,1993,Clermont Foot
153,Bamba Dieng,ATDF,2000,Marseille
154,Tristan Dingomé,MTDF,1991,Troyes
155,Sinaly Diomande,DF,2001,Lyon
156,Lois Diony,AT,1992,Angers
157,Sofiane Diop,MTAT,2000,Nice
158,Sofiane Diop,MT,2000,Monaco
159,Yehvann Diouf,GB,1999,Reims
160,Axel Disasi,DF,1998,Monaco
161,Tiago Djaló,DF,2000,Lille
162,Alexander Djiku,DF,1994,Strasbourg
163,Jeremy Doku,ATMT,2002,Rennes
164,Kyliane Dong,DFMT,2004,Troyes
165,Gianluigi Donnarumma,GB,1999,Paris S-G
166,Jodel Dossou,MTDF,1992,Clermont Foot
167,Lohann Doucet,MTAT,2002,Nantes
168,Ckene Doucouré,ATMT,2002,Lorient
169,Désiré Doué,MTAT,2005,Rennes
170,Ismaël Doukouré,DF,2003,Strasbourg
171,Kamory Doumbia,MT,2003,Reims
172,Souleyman Doumbia,DFAT,1996,Angers
173,Rémy Dugimont,MTAT,1986,Auxerre
174,Maxime Dupé,GB,1993,Toulouse
175,Jean-Kevin Duverne,DF,1997,Brest
176,Hugo Ekitike,ATMT,2002,Paris S-G
177,Sepe Elye Wahi,ATMT,2003,Montpellier
178,Breel Embolo,AT,1997,Monaco
179,Maxime Estève,DF,2002,Montpellier
180,Fábio,DFMT,1990,Nantes
181,Noah Fadiga,DF,1999,Brest
182,Wout Faes,DF,1998,Reims
183,Romain Faivre,MT,1998,Lyon
184,Khalil Fayad,MT,2004,Montpellier
185,Jordan Ferri,MT,1992,Montpellier
186,Karol Fila,DF,1998,Strasbourg
187,Alexis Flips,DFMT,2000,Reims
188,Seko Fofana,MT,1995,Lens
189,Yahia Fofana,GB,2000,Angers
190,Youssouf Fofana,MT,1999,Monaco
191,José Fonte,DF,1983,Lille
192,Przemysław Frankowski,DFMT,1995,Lens
193,Gauthier Gallon,GB,1993,Troyes
194,Kévin Gameiro,AT,1987,Strasbourg
195,Ignatius Ganago,AT,1999,Lens
196,Ignatius Ganago,ATMT,1999,Nantes
197,Johan Gastien,MT,1988,Clermont Foot
198,Denis Genreau,MTAT,1999,Toulouse
199,Valère Germain,MTAT,1990,Montpellier
200,Gerson,MT,1997,Marseille
