,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,,-additional
Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
97,Jean-Charles Castelletto,cm CMR,DF,Nantes,27-273,1995,11,9,749,8.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matchs,e0f3a1f6
98,Yoann Cathline,fr FRA,MT,Lorient,20-096,2002,4,2,216,2.4,1,0,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,0.5,0.5,0.3,0.9,0.23,0.14,0.37,0.23,0.37,Matchs,4db5915d
99,Maximiliano Caufriez,be BEL,DF,Clermont Foot,25-252,1997,7,7,609,6.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matchs,c92c24f0
100,Fabien Centonze,fr FRA,DF,Nantes,26-283,1996,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,3c6bbbab
101,Leonardo César Jardim,br BRA,GB,Lille,27-220,1995,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matchs,f5dfc256
102,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,17-163,2005,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,2180c761
103,Fares Chaïbi,fr FRA,ATMT,Toulouse,19-332,2002,10,7,634,7.0,2,4,2,0,0,1,0,0.28,0.57,0.85,0.28,0.85,1.0,1.0,2.4,3.5,0.15,0.34,0.49,0.15,0.49,Matchs,357103bd
104,Gaëtan Charbonnier,fr FRA,AT,Auxerre,33-303,1988,3,2,143,1.6,1,0,1,0,0,1,0,0.63,0.00,0.63,0.63,0.63,0.2,0.2,0.1,0.3,0.13,0.07,0.20,0.13,0.20,Matchs,18ebca4b
105,Brendan Chardonnet,fr FRA,DF,Brest,27-308,1994,11,10,945,10.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.04,0.02,0.07,0.04,0.07,Matchs,16aa7d4c
106,Xavier Chavalerin,fr FRA,MT,Troyes,31-233,1991,10,4,456,5.1,1,1,1,0,0,1,0,0.20,0.20,0.39,0.20,0.39,0.3,0.3,1.3,1.6,0.06,0.25,0.32,0.06,0.32,Matchs,279ddf6a
107,Rayan Cherki,fr FRA,MTAT,Lyon,19-070,2003,9,1,189,2.1,0,3,0,0,0,1,0,0.00,1.43,1.43,0.00,1.43,0.6,0.6,1.0,1.6,0.29,0.46,0.74,0.29,0.74,Matchs,b34c63a5
108,Ilyes Cheti,dz ALG,DF,Angers,27-277,1995,2,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.26,0.26,0.00,0.26,Matchs,9d498560
109,Lucas Chevalier,fr FRA,GB,Lille,20-354,2001,6,6,540,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,b3d76d84
110,Pedro Chirivella,es ESP,MT,Nantes,25-156,1997,11,11,954,10.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.2,1.7,0.05,0.11,0.16,0.05,0.16,Matchs,68a26d51
111,Joris Chotard,fr FRA,MT,Montpellier,21-032,2001,11,10,856,9.5,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,1.3,1.4,0.01,0.14,0.15,0.01,0.15,Matchs,7909ffa4
112,Yanis Cimignani,fr FRA,MTDF,Ajaccio,20-277,2002,8,3,279,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.06,0.03,0.09,0.06,0.09,Matchs,7495aba7
113,Souleymane Cissé,fr FRA,DF,Clermont Foot,20-079,2002,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,ff4d0258
114,Alexis Claude-Maurice,fr FRA,MT,Nice,24-142,1998,2,1,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.12,0.07,0.18,0.12,0.18,Matchs,741418c3
115,Alexis Claude-Maurice,fr FRA,MTDF,Lens,24-142,1998,6,1,162,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.06,0.18,0.24,0.06,0.24,Matchs,741418c3
116,Jonathan Clauss,fr FRA,DF,Marseille,30-031,1992,11,11,897,10.0,1,4,1,0,0,0,0,0.10,0.40,0.50,0.10,0.50,1.8,1.8,2.3,4.1,0.18,0.23,0.41,0.18,0.41,Matchs,5219ab4a
117,Marcus Coco,fr FRA,DFAT,Nantes,26-124,1996,8,3,212,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.4,0.7,0.15,0.16,0.31,0.15,0.31,Matchs,3010aefb
118,Alexandre Coeff,fr FRA,DF,Auxerre,30-248,1992,7,6,586,6.5,0,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matchs,c4065f40
119,Abdu Conté,pt POR,DF,Troyes,24-216,1998,5,2,227,2.5,1,0,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,0.3,0.3,0.6,0.9,0.13,0.24,0.37,0.13,0.37,Matchs,cfa49cc1
120,Sébastien Corchia,fr FRA,DFMT,Nantes,31-359,1990,10,1,276,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matchs,0e7ccfc4
121,David Pereira da Costa,pt POR,MTAT,Lens,21-294,2001,12,10,770,8.6,1,3,1,0,0,1,0,0.12,0.35,0.47,0.12,0.47,2.1,2.1,2.7,4.7,0.24,0.31,0.55,0.24,0.55,Matchs,59948ef7
122,Logan Costa,cv CPV,DF,Toulouse,21-208,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,bfb2056e
123,Nuno da Costa,cv CPV,ATMT,Auxerre,31-258,1991,9,7,613,6.8,2,0,2,0,0,3,1,0.29,0.00,0.29,0.29,0.29,1.0,1.0,0.9,1.9,0.14,0.14,0.28,0.14,0.28,Matchs,909222de
124,Benoît Costil,fr FRA,GB,Auxerre,35-115,1987,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,2434f24a
125,Mathieu Coutadeur,fr FRA,MT,Ajaccio,36-220,1986,9,6,556,6.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.6,0.00,0.09,0.09,0.00,0.09,Matchs,ef8ae23b
126,Nicolas Cozza,fr FRA,DF,Montpellier,23-291,1999,12,11,966,10.7,2,1,2,0,0,1,0,0.19,0.09,0.28,0.19,0.28,1.2,1.2,0.5,1.7,0.11,0.05,0.16,0.11,0.16,Matchs,8f325097
127,Damien Da Silva,fr FRA,DF,Lyon,34-162,1988,4,0,113,1.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.05,0.00,0.05,0.05,0.05,Matchs,1ec7e1c5
128,Colin Dagba,fr FRA,DF,Strasbourg,24-047,1998,7,6,412,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.03,0.06,0.08,0.03,0.08,Matchs,29c02c9f
129,Thijs Dallinga,nl NED,AT,Toulouse,22-084,2000,11,10,719,8.0,2,1,2,0,0,3,0,0.25,0.13,0.38,0.25,0.38,2.6,2.6,0.6,3.2,0.32,0.08,0.40,0.32,0.40,Matchs,b70afb45
130,Flavius Daniliuc,at AUT,DF,Nice,21-182,2001,2,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05,Matchs,7ef972c3
131,Kevin Danso,at AUT,DF,Lens,24-037,1998,12,12,1080,12.0,1,0,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,1.3,1.3,0.2,1.5,0.11,0.02,0.13,0.11,0.13,Matchs,6e33125f
132,Dante,br BRA,DF,Nice,39-008,1983,11,11,990,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matchs,fd2bc67d
133,Achraf Dari,ma MAR,DF,Brest,23-173,1999,10,8,721,8.0,1,0,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.04,0.00,0.05,0.04,0.05,Matchs,5069b796
134,Jonathan David,ca CAN,ATMT,Lille,22-285,2000,12,12,1062,11.8,9,3,7,2,3,2,0,0.76,0.25,1.02,0.59,0.85,8.8,6.5,2.5,8.9,0.75,0.21,0.96,0.55,0.76,Matchs,ce50fd99
135,Brecht Dejaegere,be BEL,MT,Toulouse,31-150,1991,9,8,586,6.5,3,0,3,0,0,1,0,0.46,0.00,0.46,0.46,0.46,0.8,0.8,0.3,1.2,0.13,0.05,0.18,0.13,0.18,Matchs,4ca4f601
136,Romain Del Castillo,fr FRA,MTAT,Brest,26-211,1996,6,3,271,3.0,3,2,1,2,2,2,0,1.00,0.66,1.66,0.33,1.00,2.4,0.8,1.4,2.2,0.78,0.48,1.26,0.26,0.73,Matchs,0be95d34
137,Thomas Delaine,fr FRA,DF,Strasbourg,30-216,1992,9,6,535,5.9,0,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.5,0.5,0.01,0.08,0.09,0.01,0.09,Matchs,8332db56
138,Sacha Delaye,fr FRA,ATMT,Montpellier,20-186,2002,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matchs,e4448c8c
139,Andy Delort,dz ALG,AT,Nice,31-017,1991,11,9,741,8.2,5,0,2,3,3,0,0,0.61,0.00,0.61,0.24,0.24,5.5,3.1,0.7,3.8,0.66,0.09,0.75,0.38,0.46,Matchs,d33c706e
140,Karamoko Dembele,sct SCO,ATMT,Brest,19-246,2003,6,0,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.17,0.08,0.25,0.17,0.25,Matchs,7304f3b1
141,Moussa Dembélé,fr FRA,ATMT,Lyon,26-106,1996,9,4,442,4.9,2,0,2,0,0,1,0,0.41,0.00,0.41,0.41,0.41,1.8,1.8,0.1,1.8,0.37,0.01,0.38,0.37,0.38,Matchs,e7986081
142,Branco van den Boomen,nl NED,MT,Toulouse,27-097,1995,12,12,1057,11.7,1,4,0,1,1,2,0,0.09,0.34,0.43,0.00,0.34,1.9,1.1,3.5,4.6,0.16,0.30,0.46,0.09,0.39,Matchs,99d660b2
143,Mikkel Desler,dk DEN,DF,Toulouse,27-249,1995,11,11,916,10.2,0,1,0,0,0,2,1,0.00,0.10,0.10,0.00,0.10,0.3,0.3,0.7,1.1,0.03,0.07,0.11,0.03,0.11,Matchs,1d5c96f8
144,Bafodé Diakité,fr FRA,DF,Lille,21-293,2001,11,9,850,9.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.8,0.06,0.03,0.08,0.06,0.08,Matchs,1bfb6fef
145,Ibrahim Diakité,gn GUI,DF,Reims,18-360,2003,2,0,54,0.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,d8c19a60
146,Habib Diallo,sn SEN,AT,Strasbourg,27-130,1995,12,11,969,10.8,5,0,4,1,1,0,0,0.46,0.00,0.46,0.37,0.37,3.6,2.8,1.4,4.2,0.33,0.13,0.47,0.26,0.39,Matchs,6605d143
147,Ismael Diallo,ci CIV,DF,Ajaccio,25-270,1997,10,8,746,8.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.2,0.01,0.02,0.02,0.01,0.02,Matchs,b3244eeb
148,Mouhamadou Diarra,sn SEN,MT,Strasbourg,18-296,2004,9,4,437,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.07,0.00,0.07,0.07,0.07,Matchs,6d0fe035
149,Moussa Diarra,ml MLI,DF,Toulouse,21-350,2000,9,4,408,4.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matchs,698f11e3
150,Stéphane Diarra,fr FRA,MTAT,Lorient,23-321,1998,12,7,539,6.0,1,0,1,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.5,0.5,0.9,1.4,0.08,0.15,0.23,0.08,0.23,Matchs,29939a1d
151,Krepin Diatta,sn SEN,MTAT,Monaco,23-243,1999,10,7,755,8.4,1,0,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.7,2.3,0.19,0.09,0.28,0.19,0.28,Matchs,8104e41e
152,Mory Diaw,sn SEN,GB,Clermont Foot,29-126,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matchs,f41a69e6
153,Bamba Dieng,sn SEN,ATDF,Marseille,22-217,2000,4,0,48,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,1.54,0.00,1.54,1.54,1.54,Matchs,40774c6b
154,Tristan Dingomé,cm CMR,MTDF,Troyes,31-251,1991,5,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.4,0.22,0.32,0.54,0.22,0.54,Matchs,92b56413
155,Sinaly Diomande,ci CIV,DF,Lyon,21-200,2001,3,3,253,2.8,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,6de23ab0
156,Lois Diony,fr FRA,AT,Angers,29-310,1992,8,5,437,4.9,1,0,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,1.7,1.7,0.3,2.1,0.35,0.07,0.42,0.35,0.42,Matchs,4be0b467
157,Sofiane Diop,fr FRA,MTAT,Nice,22-139,2000,5,4,347,3.9,0,2,0,0,0,0,0,0.00,0.52,0.52,0.00,0.52,0.4,0.4,0.6,1.0,0.11,0.15,0.27,0.11,0.27,Matchs,19053e31
158,Sofiane Diop,fr FRA,MT,Monaco,22-139,2000,1,1,65,0.7,1,0,1,0,0,0,0,1.38,0.00,1.38,1.38,1.38,1.0,1.0,0.1,1.1,1.40,0.11,1.51,1.40,1.51,Matchs,19053e31
159,Yehvann Diouf,fr FRA,GB,Reims,22-344,1999,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,eedea60b
160,Axel Disasi,fr FRA,DF,Monaco,24-229,1998,12,12,1080,12.0,1,3,1,0,1,0,0,0.08,0.25,0.33,0.08,0.33,1.3,0.5,0.8,1.3,0.11,0.07,0.18,0.04,0.11,Matchs,ad82197c
161,Tiago Djaló,pt POR,DF,Lille,22-200,2000,11,10,840,9.3,1,0,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,0.6,0.6,0.0,0.6,0.06,0.00,0.07,0.06,0.07,Matchs,b2336681
162,Alexander Djiku,gh GHA,DF,Strasbourg,28-078,1994,12,12,999,11.1,1,0,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,0.9,0.9,0.4,1.3,0.09,0.03,0.12,0.09,0.12,Matchs,43e7a164
163,Jeremy Doku,be BEL,ATMT,Rennes,20-152,2002,6,1,155,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.8,0.28,0.22,0.49,0.28,0.49,Matchs,fffea3e5
164,Kyliane Dong,fr FRA,DFMT,Troyes,18-029,2004,3,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.09,0.00,0.09,0.09,0.09,Matchs,836dc4a8
165,Gianluigi Donnarumma,it ITA,GB,Paris S-G,23-243,1999,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,08f5afaa
166,Jodel Dossou,bj BEN,MTDF,Clermont Foot,30-223,1992,7,2,223,2.5,1,0,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,0.5,0.5,0.2,0.6,0.19,0.06,0.25,0.19,0.25,Matchs,a1dbfcb1
167,Lohann Doucet,fr FRA,MTAT,Nantes,20-042,2002,6,0,64,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.07,0.22,0.29,0.07,0.29,Matchs,dff0c299
168,Ckene Doucouré,km COM,ATMT,Lorient,20-201,2002,3,0,30,0.3,0,1,0,0,0,0,0,0.00,3.00,3.00,0.00,3.00,0.3,0.3,0.2,0.4,0.77,0.49,1.25,0.77,1.25,Matchs,92d90c8f
169,Désiré Doué,fr FRA,MTAT,Rennes,17-145,2005,11,3,403,4.5,2,0,2,0,0,3,0,0.45,0.00,0.45,0.45,0.45,0.7,0.7,0.2,0.9,0.15,0.05,0.20,0.15,0.20,Matchs,9e7483ff
170,Ismaël Doukouré,fr FRA,DF,Strasbourg,19-094,2003,6,4,409,4.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.06,0.06,0.00,0.06,Matchs,0512a60a
171,Kamory Doumbia,ml MLI,MT,Reims,19-250,2003,11,6,487,5.4,1,1,0,1,1,0,0,0.18,0.18,0.37,0.00,0.18,1.6,0.8,1.1,1.9,0.29,0.20,0.49,0.14,0.34,Matchs,9226aa22
172,Souleyman Doumbia,ci CIV,DFAT,Angers,26-032,1996,11,11,895,9.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,1.1,0.04,0.07,0.11,0.04,0.11,Matchs,9daeac61
173,Rémy Dugimont,fr FRA,MTAT,Auxerre,36-117,1986,9,0,99,1.1,0,1,0,0,0,1,0,0.00,0.91,0.91,0.00,0.91,0.1,0.1,0.3,0.4,0.11,0.25,0.36,0.11,0.36,Matchs,6d7ede84
174,Maxime Dupé,fr FRA,GB,Toulouse,29-236,1993,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,0e12089d
175,Jean-Kevin Duverne,fr FRA,DF,Brest,25-106,1997,11,8,837,9.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.02,0.04,0.07,0.02,0.07,Matchs,0cbc8baa
176,Hugo Ekitike,fr FRA,ATMT,Paris S-G,20-128,2002,7,1,137,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.19,0.05,0.25,0.19,0.25,Matchs,5b92d896
177,Sepe Elye Wahi,fr FRA,ATMT,Montpellier,19-297,2003,12,12,995,11.1,6,1,6,0,0,4,0,0.54,0.09,0.63,0.54,0.63,3.3,3.3,0.4,3.7,0.30,0.04,0.34,0.30,0.34,Matchs,0d7b6576
178,Breel Embolo,ch SUI,AT,Monaco,25-254,1997,12,11,935,10.4,5,2,5,0,1,1,0,0.48,0.19,0.67,0.48,0.67,4.0,3.1,1.8,4.9,0.39,0.17,0.56,0.30,0.47,Matchs,0b4f388a
179,Maxime Estève,fr FRA,DF,Montpellier,20-153,2002,10,6,632,7.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matchs,1a066e69
180,Fábio,br BRA,DFMT,Nantes,32-109,1990,6,3,224,2.5,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.08,0.24,0.32,0.08,0.32,Matchs,bc7b4580
181,Noah Fadiga,sn SEN,DF,Brest,22-327,1999,6,6,403,4.5,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.4,0.4,0.0,0.4,0.08,0.00,0.08,0.08,0.08,Matchs,83f03b07
182,Wout Faes,be BEL,DF,Reims,24-206,1998,3,3,270,3.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,9c221d14
183,Romain Faivre,fr FRA,MT,Lyon,24-104,1998,6,3,229,2.5,0,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,0.1,0.1,0.2,0.3,0.05,0.06,0.11,0.05,0.11,Matchs,745ca0a3
184,Khalil Fayad,fr FRA,MT,Montpellier,18-139,2004,7,3,262,2.9,0,1,0,0,0,0,1,0.00,0.34,0.34,0.00,0.34,0.3,0.3,0.3,0.6,0.09,0.11,0.19,0.09,0.19,Matchs,faf00ab8
185,Jordan Ferri,fr FRA,MT,Montpellier,30-228,1992,10,10,813,9.0,0,2,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,0.0,0.0,0.5,0.5,0.00,0.06,0.06,0.00,0.06,Matchs,375622c5
186,Karol Fila,pl POL,DF,Strasbourg,24-135,1998,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.22,0.00,0.22,0.22,0.22,Matchs,50ac8941
187,Alexis Flips,fr FRA,DFMT,Reims,22-281,2000,9,6,462,5.1,1,2,1,0,0,0,1,0.19,0.39,0.58,0.19,0.58,0.9,0.9,1.8,2.8,0.18,0.36,0.54,0.18,0.54,Matchs,caef7840
188,Seko Fofana,ci CIV,MT,Lens,27-172,1995,10,9,843,9.4,2,2,1,1,1,0,0,0.21,0.21,0.43,0.11,0.32,2.6,1.9,1.5,3.4,0.28,0.16,0.45,0.20,0.36,Matchs,5313ed43
189,Yahia Fofana,fr FRA,GB,Angers,22-066,2000,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,9d420dad
190,Youssouf Fofana,fr FRA,MT,Monaco,23-289,1999,11,11,894,9.9,1,0,1,0,0,1,1,0.10,0.00,0.10,0.10,0.10,1.1,1.1,1.7,2.8,0.11,0.17,0.28,0.11,0.28,Matchs,822d51d7
191,José Fonte,pt POR,DF,Lille,38-308,1983,11,11,990,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.03,0.03,0.06,0.03,0.06,Matchs,90f87966
192,Przemysław Frankowski,pl POL,DFMT,Lens,27-197,1995,12,8,737,8.2,0,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,0.7,0.7,1.2,1.8,0.08,0.14,0.23,0.08,0.23,Matchs,00a8d210
193,Gauthier Gallon,fr FRA,GB,Troyes,29-186,1993,10,10,900,10.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,db3164e1
194,Kévin Gameiro,fr FRA,AT,Strasbourg,35-170,1987,12,9,795,8.8,3,0,3,0,1,0,0,0.34,0.00,0.34,0.34,0.34,3.3,2.4,0.4,2.8,0.37,0.05,0.42,0.27,0.31,Matchs,42276181
195,Ignatius Ganago,cm CMR,AT,Lens,23-252,1999,4,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.07,0.00,0.07,0.07,0.07,Matchs,23c63b7f
196,Ignatius Ganago,cm CMR,ATMT,Nantes,23-252,1999,7,4,354,3.9,3,1,3,0,0,0,0,0.76,0.25,1.02,0.76,1.02,0.7,0.7,0.2,0.9,0.18,0.05,0.23,0.18,0.23,Matchs,23c63b7f
197,Johan Gastien,fr FRA,MT,Clermont Foot,34-274,1988,11,11,948,10.5,1,2,1,0,0,3,0,0.09,0.19,0.28,0.09,0.28,0.3,0.3,1.0,1.3,0.03,0.09,0.13,0.03,0.13,Matchs,868eaba0
198,Denis Genreau,au AUS,MTAT,Toulouse,23-158,1999,8,0,95,1.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.26,0.26,0.00,0.26,Matchs,badcdcae
199,Valère Germain,fr FRA,MTAT,Montpellier,32-192,1990,10,2,229,2.5,2,0,2,0,0,0,1,0.79,0.00,0.79,0.79,0.79,1.2,1.2,0.2,1.4,0.46,0.10,0.56,0.46,0.56,Matchs,ea0ff634
200,Gerson,br BRA,MT,Marseille,25-159,1997,8,6,397,4.4,2,0,2,0,0,1,0,0.45,0.00,0.45,0.45,0.45,0.8,0.8,0.3,1.1,0.17,0.07,0.24,0.17,0.24,Matchs,8827bf46
201,Samuel Gigot,fr FRA,DF,Marseille,29-014,1993,8,7,574,6.4,1,0,1,0,0,4,2,0.16,0.00,0.16,0.16,0.16,0.5,0.5,0.0,0.6,0.08,0.01,0.09,0.08,0.09,Matchs,41eebdf5
202,Andrei Girotto,br BRA,DFMT,Nantes,30-251,1992,11,11,972,10.8,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.7,0.7,0.7,1.3,0.06,0.06,0.12,0.06,0.12,Matchs,3befc2b6
203,Aleksandr Golovin,ru RUS,MTAT,Monaco,26-149,1996,11,9,749,8.3,1,2,1,0,0,1,0,0.12,0.24,0.36,0.12,0.36,1.5,1.5,1.1,2.5,0.18,0.13,0.31,0.18,0.31,Matchs,3708e9fa
204,André Gomes,pt POR,MT,Lille,29-088,1993,7,4,408,4.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.04,0.04,0.08,0.04,0.08,Matchs,1961b2aa
205,Angel Gomes,eng ENG,MT,Lille,22-056,2000,11,11,884,9.8,1,1,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,1.2,1.2,1.1,2.3,0.12,0.11,0.23,0.12,0.23,Matchs,645a3363
