,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,,-additional
Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
23,Dennis Appiah,fr FRA,DFMT,Nantes,30-139,1992,12,9,734,8.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.05,0.02,0.07,0.05,0.07,Matchs,feb5d3ab
24,Lorenz Assignon,tg TOG,DFMT,Rennes,22-126,2000,5,2,179,2.0,0,1,0,0,0,2,0,0.00,0.50,0.50,0.00,0.50,0.2,0.2,0.3,0.5,0.09,0.17,0.26,0.09,0.26,Matchs,b026bbf6
25,Youcef Atal,dz ALG,DFMT,Nice,26-162,1996,9,4,394,4.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.9,0.03,0.17,0.20,0.03,0.20,Matchs,6a827d8e
26,Mathias Autret,fr FRA,MT,Auxerre,31-239,1991,10,9,713,7.9,2,1,1,1,1,0,0,0.25,0.13,0.38,0.13,0.25,1.6,0.8,0.5,1.3,0.20,0.06,0.26,0.10,0.16,Matchs,7dfbba27
27,Cédric Avinel,gp GLP,DF,Ajaccio,36-045,1986,8,7,636,7.1,1,0,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,1.0,1.0,0.0,1.0,0.14,0.00,0.14,0.14,0.14,Matchs,a94d93be
28,Loïc Bade,fr FRA,DF,Rennes,22-198,2000,1,1,90,1.0,0,1,0,0,0,1,0,0.00,1.00,1.00,0.00,1.00,0.2,0.2,0.1,0.3,0.20,0.06,0.26,0.20,0.26,Matchs,114bbdee
29,Benoît Badiashile,fr FRA,DF,Monaco,21-214,2001,10,8,749,8.3,2,0,2,0,0,3,0,0.24,0.00,0.24,0.24,0.24,0.6,0.6,0.4,1.0,0.08,0.05,0.12,0.08,0.12,Matchs,06df8256
30,Eric Bailly,ci CIV,DF,Marseille,28-197,1994,4,2,211,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matchs,a1232f4e
31,Dénys Bain,fr FRA,DF,Auxerre,29-116,1993,2,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,5065d67d
32,Brandon Baiye,be BEL,MT,Clermont Foot,21-303,2000,5,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.21,0.21,0.00,0.21,Matchs,7e3e825e
33,Cédric Bakambu,cd COD,MT,Marseille,31-198,1991,3,0,59,0.7,0,1,0,0,0,0,0,0.00,1.53,1.53,0.00,1.53,0.0,0.0,1.0,1.0,0.00,1.56,1.56,0.00,1.56,Matchs,0af4dcf0
34,Thierno Balde,fr FRA,DF,Troyes,20-138,2002,9,8,635,7.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.00,0.05,0.05,0.00,0.05,Matchs,3975195f
35,Carlos Baleba,cm CMR,MT,Lille,18-296,2004,4,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matchs,a1390d2f
36,Leonardo Balerdi,ar ARG,DF,Marseille,23-273,1999,12,11,930,10.3,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matchs,7c3ed041
37,Folarin Balogun,eng ENG,AT,Reims,21-115,2001,12,10,867,9.6,7,1,5,2,2,1,0,0.73,0.10,0.83,0.52,0.62,6.2,4.6,0.8,5.4,0.64,0.08,0.72,0.48,0.56,Matchs,31822f8c
38,Abdoulaye Bamba,ci CIV,DF,Angers,32-184,1990,6,2,330,3.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.06,0.06,0.00,0.06,Matchs,7fecbcdb
39,Jonathan Bamba,fr FRA,MT,Lille,26-214,1996,12,12,1061,11.8,4,3,4,0,0,2,0,0.34,0.25,0.59,0.34,0.59,2.9,2.9,2.6,5.4,0.24,0.22,0.46,0.24,0.46,Matchs,b2bd0f6c
40,Bradley Barcola,fr FRA,MTAT,Lyon,20-054,2002,7,0,81,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.10,0.15,0.25,0.10,0.25,Matchs,a0d55a09
41,Melvin Bard,fr FRA,DF,Nice,21-354,2000,12,9,837,9.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.04,0.05,0.01,0.05,Matchs,1ddbc7ca
42,Ross Barkley,eng ENG,MTAT,Nice,28-325,1993,6,3,316,3.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.7,1.5,0.26,0.20,0.46,0.26,0.46,Matchs,3a24769f
43,Mickaël Barreto,fr FRA,MT,Ajaccio,31-281,1991,4,1,144,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.07,0.10,0.17,0.07,0.17,Matchs,e3844ecb
44,Cyrille Bayala,bf BFA,MT,Ajaccio,26-155,1996,11,9,658,7.3,1,0,1,0,0,3,0,0.14,0.00,0.14,0.14,0.14,0.9,0.9,0.1,1.1,0.13,0.02,0.15,0.13,0.15,Matchs,20e0dd86
45,Yanis Begraoui,fr FRA,MT,Toulouse,21-114,2001,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.46,0.46,0.00,0.46,Matchs,5e6355f8
46,Alexis Beka Beka,fr FRA,MT,Nice,21-211,2001,8,3,276,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.01,0.04,0.03,0.04,Matchs,4a5e83ad
47,Jérémie Bela,ao ANG,DFMT,Clermont Foot,29-201,1993,7,4,328,3.6,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06,Matchs,5680bf3f
48,Youcef Belaïli,dz ALG,MTAT,Ajaccio,30-226,1992,2,1,98,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.04,0.07,0.12,0.04,0.12,Matchs,1a248246
49,Youcef Belaïli,dz ALG,MTAT,Brest,30-226,1992,6,4,356,4.0,0,2,0,0,0,3,0,0.00,0.51,0.51,0.00,0.51,0.6,0.6,0.8,1.4,0.16,0.19,0.36,0.16,0.36,Matchs,1a248246
